asset_id,base_asset_id,asset_type,variant,label,module_type,proof_object,intended_use,required_replacement,caution,svg,png_preview,license
source_dataset_record_plate_light,source_dataset_record_plate,source_proof_placeholder_module,light,Source dataset record plate,source-record,dataset accession / record screenshot,"OSDR, GeneLab, GEO, or repository record proof",replace placeholder with real accession/source screenshot,do not use as proof unless source id and date are present,assets/biovis_source_proof_module_pack_v0_4/modules/svg/source_dataset_record_plate.svg,assets/biovis_source_proof_module_pack_v0_4/modules/png/source_dataset_record_plate.png,Original project artwork; repository MIT license.
source_dataset_record_plate_dark,source_dataset_record_plate,source_proof_placeholder_module,dark,Source dataset record plate,source-record,dataset accession / record screenshot,"OSDR, GeneLab, GEO, or repository record proof",replace placeholder with real accession/source screenshot,do not use as proof unless source id and date are present,assets/biovis_source_proof_module_pack_v0_4/modules_dark/svg/source_dataset_record_plate.svg,assets/biovis_source_proof_module_pack_v0_4/modules_dark/png/source_dataset_record_plate.png,Original project artwork; repository MIT license.
expression_matrix_proof_plate_light,expression_matrix_proof_plate,source_proof_placeholder_module,light,Expression matrix proof plate,matrix-proof,"real expression matrix, QC heatmap, or feature table",feature construction and data-processing proof,replace schematic heatmap with real matrix/QC output,do not imply heatmap values are measured while placeholder remains,assets/biovis_source_proof_module_pack_v0_4/modules/svg/expression_matrix_proof_plate.svg,assets/biovis_source_proof_module_pack_v0_4/modules/png/expression_matrix_proof_plate.png,Original project artwork; repository MIT license.
expression_matrix_proof_plate_dark,expression_matrix_proof_plate,source_proof_placeholder_module,dark,Expression matrix proof plate,matrix-proof,"real expression matrix, QC heatmap, or feature table",feature construction and data-processing proof,replace schematic heatmap with real matrix/QC output,do not imply heatmap values are measured while placeholder remains,assets/biovis_source_proof_module_pack_v0_4/modules_dark/svg/expression_matrix_proof_plate.svg,assets/biovis_source_proof_module_pack_v0_4/modules_dark/png/expression_matrix_proof_plate.png,Original project artwork; repository MIT license.
single_cell_embedding_proof_plate_light,single_cell_embedding_proof_plate,source_proof_placeholder_module,light,Single-cell embedding proof plate,single-cell-proof,real embedding or cell-state distribution,single-cell payload and modality proof,replace schematic embedding with real UMAP/t-SNE/spatial map,32px symbols need labels; embedding needs cell count/source metadata,assets/biovis_source_proof_module_pack_v0_4/modules/svg/single_cell_embedding_proof_plate.svg,assets/biovis_source_proof_module_pack_v0_4/modules/png/single_cell_embedding_proof_plate.png,Original project artwork; repository MIT license.
single_cell_embedding_proof_plate_dark,single_cell_embedding_proof_plate,source_proof_placeholder_module,dark,Single-cell embedding proof plate,single-cell-proof,real embedding or cell-state distribution,single-cell payload and modality proof,replace schematic embedding with real UMAP/t-SNE/spatial map,32px symbols need labels; embedding needs cell count/source metadata,assets/biovis_source_proof_module_pack_v0_4/modules_dark/svg/single_cell_embedding_proof_plate.svg,assets/biovis_source_proof_module_pack_v0_4/modules_dark/png/single_cell_embedding_proof_plate.png,Original project artwork; repository MIT license.
held_out_task_proof_plate_light,held_out_task_proof_plate,source_proof_placeholder_module,light,Held-out task proof plate,benchmark-proof,train/test or mission-held-out split diagram,"benchmark hygiene, leakage boundary, and evaluation proof",replace placeholder split with actual split manifest or task table,do not use held-out badge without actual withheld evaluation boundary,assets/biovis_source_proof_module_pack_v0_4/modules/svg/held_out_task_proof_plate.svg,assets/biovis_source_proof_module_pack_v0_4/modules/png/held_out_task_proof_plate.png,Original project artwork; repository MIT license.
held_out_task_proof_plate_dark,held_out_task_proof_plate,source_proof_placeholder_module,dark,Held-out task proof plate,benchmark-proof,train/test or mission-held-out split diagram,"benchmark hygiene, leakage boundary, and evaluation proof",replace placeholder split with actual split manifest or task table,do not use held-out badge without actual withheld evaluation boundary,assets/biovis_source_proof_module_pack_v0_4/modules_dark/svg/held_out_task_proof_plate.svg,assets/biovis_source_proof_module_pack_v0_4/modules_dark/png/held_out_task_proof_plate.png,Original project artwork; repository MIT license.
organoid_evidence_plate_light,organoid_evidence_plate,source_proof_placeholder_module,light,Organoid evidence plate,extension-proof,"organoid microscopy, assay panel, or source-derived culture proof",human organoid extension or future validation track,replace placeholder with cited organoid source image or assay output,must keep preliminary/extension caveat unless full benchmark is ready,assets/biovis_source_proof_module_pack_v0_4/modules/svg/organoid_evidence_plate.svg,assets/biovis_source_proof_module_pack_v0_4/modules/png/organoid_evidence_plate.png,Original project artwork; repository MIT license.
organoid_evidence_plate_dark,organoid_evidence_plate,source_proof_placeholder_module,dark,Organoid evidence plate,extension-proof,"organoid microscopy, assay panel, or source-derived culture proof",human organoid extension or future validation track,replace placeholder with cited organoid source image or assay output,must keep preliminary/extension caveat unless full benchmark is ready,assets/biovis_source_proof_module_pack_v0_4/modules_dark/svg/organoid_evidence_plate.svg,assets/biovis_source_proof_module_pack_v0_4/modules_dark/png/organoid_evidence_plate.png,Original project artwork; repository MIT license.
result_claim_plate_light,result_claim_plate,source_proof_placeholder_module,light,Result claim plate,result-proof,real result plot plus claim-boundary footer,processed result or validated claim surface,replace placeholder plot with final result figure,separate processed result from validated claim,assets/biovis_source_proof_module_pack_v0_4/modules/svg/result_claim_plate.svg,assets/biovis_source_proof_module_pack_v0_4/modules/png/result_claim_plate.png,Original project artwork; repository MIT license.
result_claim_plate_dark,result_claim_plate,source_proof_placeholder_module,dark,Result claim plate,result-proof,real result plot plus claim-boundary footer,processed result or validated claim surface,replace placeholder plot with final result figure,separate processed result from validated claim,assets/biovis_source_proof_module_pack_v0_4/modules_dark/svg/result_claim_plate.svg,assets/biovis_source_proof_module_pack_v0_4/modules_dark/png/result_claim_plate.png,Original project artwork; repository MIT license.
