scaffold_id,package_id,task_id,item_id,citation_surface,required_for,status,current_value,source_artifacts,blocking_gap,next_action,claim_boundary_impact
osd120_ro_crate_citation_freeze_scaffold,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,upstream_osdr_credit,source_credit,diagnostic_metadata_draft,pass,Credit NASA OSDR/GeneLab and OSD-120 / GLDS-120.,v9/multispecies/reports/interaction_public_metadata_package/public_metadata_summary.csv,,Keep OSDR/GeneLab credit in every public surface.,Supports source credit without local release claim.
osd120_ro_crate_citation_freeze_scaffold,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,osdr_dataset_specific_citation,source_citation,source_specific_public_alpha_package,needs_review,Use the OSDR study citation path for BibTeX/RIS.,v9/multispecies/reports/interaction_public_metadata_package/public_metadata_field_table.csv,source_inventory_release_target,Capture exact OSDR citation export before source package release.,Blocks clean source-alpha citation wording.
osd120_ro_crate_citation_freeze_scaffold,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,spacebio_package_title,local_package_citation,diagnostic_metadata_draft,pass,OSD-120 Arabidopsis Root Light Interaction Diagnostic Draft,v9/multispecies/reports/interaction_public_metadata_package/public_metadata_field_table.csv,,Keep title stable unless package scope changes.,Safe for draft metadata display.
osd120_ro_crate_citation_freeze_scaffold,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,spacebio_version_string,local_package_citation,citable_archive,blocker,draft-v9-osd120-diagnostic-alpha-unreleased,ro-crate-metadata.draft.json|datapackage.draft.json,versioned_archive_plan,Choose a release version string only after release approval.,Blocks citable local package citation.
osd120_ro_crate_citation_freeze_scaffold,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,local_archive_identifier,doi_or_archive_identifier,citable_archive,blocker,pending_versioned_release_identifier,v9/multispecies/reports/interaction_public_metadata_package/public_metadata_field_table.csv,versioned_archive_plan,Define DOI/Zenodo/SWHID/RAiD path before archive.,Blocks DOI or archive citation.
osd120_ro_crate_citation_freeze_scaffold,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,creator_contributor_list,datacite_creators,citable_archive,blocker,pending_formal_release_creator_list,v9/multispecies/reports/interaction_public_metadata_package/public_metadata_field_table.csv,formal_license_and_creator_metadata,"Freeze creator order, affiliations, and contributor roles.",Blocks DataCite-ready citation.
osd120_ro_crate_citation_freeze_scaffold,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,license_and_rights,rights,source_specific_public_alpha_package,blocker,pending_local_release_license_review,v9/multispecies/reports/interaction_public_metadata_package/public_metadata_field_table.csv,formal_license_and_creator_metadata,Review upstream and local package rights before public package release.,Blocks release packaging beyond draft metadata.
osd120_ro_crate_citation_freeze_scaffold,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,related_identifier_map,datacite_related_identifiers,source_specific_public_alpha_package,needs_review,OSD-120 URL and selected literature links recorded; local DOI pending.,v9/multispecies/reports/interaction_public_metadata_package/public_metadata_field_table.csv,versioned_archive_plan,"Separate source, article, software, and archive relation types.",Weakens machine-actionable citation until resolved.
osd120_ro_crate_citation_freeze_scaffold,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,ro_crate_metadata_file,machine_readable_export,diagnostic_metadata_draft,pass,ro-crate-metadata.draft.json,ro-crate-metadata.draft.json,,Validate in archive mode after placeholder resolution.,Supports draft machine-readable reuse.
osd120_ro_crate_citation_freeze_scaffold,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,data_package_descriptor,machine_readable_export,diagnostic_metadata_draft,pass,datapackage.draft.json,datapackage.draft.json,,Validate with Frictionless tooling later.,Supports draft package inspection.
osd120_ro_crate_citation_freeze_scaffold,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,frozen_claim_guard,claim_boundary,all_surfaces,pass,diagnostic_ro_crate_scaffold_only_not_citable_archive,v9/multispecies/reports/interaction_public_metadata_package/source_release_target_decision.csv,,Keep all export text draft-limited.,Prevents frozen benchmark and full mirror claims.
